1q_gates,Hellinger_distance,Hellinger_fidelity,JSD,Renyi2_entropy,Shannon_entropy,TVD,abstract_2q_operations,algorithmic_success,algorithmic_success_margin_95,benchmark,bootstrap_uncertainty,compile_time_sec,compiler,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routing_induced_2q_overhead,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,two_qubit_depth
28,0.212909,0.911394,0.045963,1.257849,1.688403,0.0878,5,0.9122,0.005547,GHZ_6,"{'Hellinger_fidelity_std': 0.002901, 'TVD_std': 0.002891, 'JSD_std': 0.001556}",0.008022,SABRE_O3,19,55,5,33,"{'value': 0, 'status': 'VALID'}",1,5,7,6,1.049308,,13,0,,,COMPILED_UNVERIFIED,1.0,5
140,0.135931,0.963387,0.026358,9.806904,9.896497,0.150895,38,,,CrossEnt_10,"{'Hellinger_fidelity_std': 0.002548, 'TVD_std': 0.00379, 'JSD_std': 0.001701}",0.008053,SABRE_O3,67,56,38,178,"{'value': 0, 'status': 'VALID'}",20,17,13,37,8.643856,,42,21,,,COMPILED_UNVERIFIED,2.235294,24
1644,0.155837,0.95202,0.034594,8.739892,8.862209,0.177084,354,,,QFT_9_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.002482, 'TVD_std': 0.004172, 'JSD_std': 0.001744}",2.476574,PROMETHEUS,1142,57,354,1998,"{'value': 0.3097, 'status': 'VALID'}",12,40,20,52,7.70275,,841,314,,,COMPILED_UNVERIFIED,8.85,310
190,0.099945,0.980122,0.014347,6.884111,6.941986,0.114612,38,,,CrossEnt_7,"{'Hellinger_fidelity_std': 0.001513, 'TVD_std': 0.00448, 'JSD_std': 0.001092}",1.300076,PROMETHEUS,102,58,38,228,"{'value': 0, 'status': 'VALID'}",14,11,10,25,6.107803,,69,27,,,COMPILED_UNVERIFIED,3.454545,34
47,0.208431,0.915001,0.043927,1.252348,1.742341,0.0847,7,0.9153,0.005457,GHZ_8,"{'Hellinger_fidelity_std': 0.002885, 'TVD_std': 0.00287, 'JSD_std': 0.001542}",0.918852,PROMETHEUS,34,59,7,54,"{'value': 0, 'status': 'VALID'}",1,7,9,8,1.076432,,26,0,,,COMPILED_UNVERIFIED,1.0,7
59,0.268075,0.861436,0.073042,1.425072,2.149457,0.1384,9,0.8616,0.006768,GHZ_10,"{'Hellinger_fidelity_std': 0.003494, 'TVD_std': 0.003498, 'JSD_std': 0.001942}",1.316569,PROMETHEUS,42,60,9,68,"{'value': 0, 'status': 'VALID'}",1,9,11,10,1.175599,,32,0,,,COMPILED_UNVERIFIED,1.0,9
292,0.155084,0.952477,0.034206,9.735409,9.862898,0.17058,62,,,CrossEnt_10,"{'Hellinger_fidelity_std': 0.002614, 'TVD_std': 0.003693, 'JSD_std': 0.001722}",0.058197,PROMETHEUS,156,61,62,354,"{'value': 0, 'status': 'VALID'}",20,17,13,37,7.965784,,102,45,,,COMPILED_UNVERIFIED,3.647059,55
297,0.12539,0.968802,0.022516,4.924878,5.462074,0.145209,60,,,QAOA_6_MAXCUT,"{'Hellinger_fidelity_std': 0.001756, 'TVD_std': 0.004618, 'JSD_std': 0.001269}",0.056783,PROMETHEUS,167,62,60,357,"{'value': 0.7801, 'status': 'VALID'}",12,9,9,21,3.57175,,128,51,,,COMPILED_UNVERIFIED,6.666667,45
899,0.115733,0.973391,0.019224,6.851354,6.923147,0.137325,165,,,QFT_7_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001651, 'TVD_std': 0.004466, 'JSD_std': 0.001193}",2.323678,PROMETHEUS,605,63,165,1064,"{'value': 0.3722, 'status': 'VALID'}",10,24,16,34,6.107803,,466,141,,,COMPILED_UNVERIFIED,6.875,147
1,0.218555,0.906749,0.048415,1.272241,1.662792,0.0926,4,0.9074,0.005681,GHZ_5,"{'Hellinger_fidelity_std': 0.003, 'TVD_std': 0.002983, 'JSD_std': 0.001615}",0.473768,TKET,22,64,4,5,"{'value': 0, 'status': 'VALID'}",1,4,6,5,1.064917,,1,0,,,COMPILED_UNVERIFIED,1.0,4
101,0.13877,0.961857,0.027423,9.798709,9.892293,0.150666,135,,,QFT_10_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.002713, 'TVD_std': 0.003819, 'JSD_std': 0.00177}",1.865311,TKET,474,65,225,236,"{'value': 0.3313, 'status': 'VALID'}",13,50,22,63,8.429731,,35,85,,,COMPILED_UNVERIFIED,4.5,81
41,0.199828,0.921732,0.040321,1.232411,1.668973,0.0781,6,0.9219,0.005259,GHZ_7,"{'Hellinger_fidelity_std': 0.002675, 'TVD_std': 0.002667, 'JSD_std': 0.00142}",1.955093,PROMETHEUS,30,66,6,47,"{'value': 0, 'status': 'VALID'}",1,6,8,7,1.078868,,23,0,,,COMPILED_UNVERIFIED,1.0,6
43,0.230083,0.896926,0.053772,1.303105,1.901044,0.1021,8,0.8979,0.005934,GHZ_9,"{'Hellinger_fidelity_std': 0.00304, 'TVD_std': 0.003045, 'JSD_std': 0.001647}",0.008566,SABRE_O3,28,67,8,51,"{'value': 0, 'status': 'VALID'}",1,8,10,9,1.063409,,19,0,,,COMPILED_UNVERIFIED,1.0,8
23,0.143607,0.95918,0.020744,1.118351,1.325317,0.0407,3,0.9593,0.003873,GHZ_4,"{'Hellinger_fidelity_std': 0.001923, 'TVD_std': 0.001912, 'JSD_std': 0.000993}",1.171692,PROMETHEUS,18,68,3,26,"{'value': 0, 'status': 'VALID'}",1,3,5,4,1.027969,,14,0,,,COMPILED_UNVERIFIED,1.0,3
9,0.028852,0.998336,0.001201,3.990511,3.995214,0.0327,6,,,CrossEnt_4,"{'Hellinger_fidelity_std': 0.000411, 'TVD_std': 0.004204, 'JSD_std': 0.000297}",0.596408,TKET,41,69,8,15,"{'value': 0, 'status': 'VALID'}",8,5,7,13,3.809954,,3,1,,,COMPILED_UNVERIFIED,1.6,7
