experiment,benchmark,compiler,1q_gates,Algorithm,Backend,Circuit_Depth,Compiler,Entropy_Delta,Execution_ID,HOP,Hellinger_distance,Hellinger_fidelity,JSD,Job_ID,KL_Divergence,PROM_2Q_Gates,PROM_Depth,PROM_Entropy,PROM_HOP,PROM_KL_Div,PROM_XEB,Qubits,Renyi2_entropy,SABRE_2Q_Gates,SABRE_Depth,SABRE_Entropy,SABRE_HOP,SABRE_KL_Div,SABRE_XEB,Shannon_Entropy,Shannon_entropy,TVD,abstract_2q_operations,algorithmic_success,algorithmic_success_margin_95,bootstrap_uncertainty,compile_time_sec,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routing_induced_2q_overhead,routing_induced_swaps,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,two_qubit_depth
03-micro-gradient-scaling,QAOA_5_MAXCUT,PROMETHEUS,211.0,,,,,,,,0.178202,0.937496,0.034666,,,,,,,,,,4.151627,,,,,,,,4.50747,0.103666,35.0,,,"{'Hellinger_fidelity_std': 0.002375, 'TVD_std': 0.004609, 'JSD_std': 0.001358}",0.059341,141.0,31.0,35.0,246.0,"{'value': 0.7973, 'status': 'VALID'}",10.0,7.0,8.0,17.0,3.044538,,112.0,28.0,,,,COMPILED_UNVERIFIED,5.0,32.0
03-micro-gradient-scaling,CrossEnt_6,PROMETHEUS,156.0,,,,,,,,0.078692,0.987654,0.008913,,,,,,,,,,5.927764,,,,,,,,5.964005,0.092525,30.0,,,"{'Hellinger_fidelity_std': 0.001147, 'TVD_std': 0.004561, 'JSD_std': 0.000828}",1.306608,84.0,32.0,30.0,186.0,"{'value': 0, 'status': 'VALID'}",12.0,9.0,9.0,21.0,5.333516,,58.0,21.0,,,,COMPILED_UNVERIFIED,3.333333,27.0
03-micro-gradient-scaling,QAOA_4_MAXCUT,TKET,15.0,,,,,,,,0.227808,0.8989,0.054664,,,,,,,,,,3.080604,,,,,,,,3.468533,0.136809,15.0,,,"{'Hellinger_fidelity_std': 0.003123, 'TVD_std': 0.004626, 'JSD_std': 0.001751}",0.615158,104.0,33.0,21.0,30.0,"{'value': 0.7929, 'status': 'VALID'}",8.0,6.0,7.0,14.0,2.153286,,7.0,9.0,,,,COMPILED_UNVERIFIED,3.5,17.0
03-micro-gradient-scaling,CrossEnt_6,TKET,15.0,,,,,,,,0.064182,0.991778,0.005928,,,,,,,,,,5.95583,,,,,,,,5.97678,0.072825,12.0,,,"{'Hellinger_fidelity_std': 0.000911, 'TVD_std': 0.004177, 'JSD_std': 0.000656}",0.735646,63.0,34.0,18.0,27.0,"{'value': 0, 'status': 'VALID'}",12.0,9.0,9.0,21.0,5.49981,,4.0,3.0,,,,COMPILED_UNVERIFIED,2.0,14.0
03-micro-gradient-scaling,GHZ_10,TKET,1.0,,,,,,,,0.315447,0.810888,0.101955,,,,,,,,,,1.585379,,,,,,,,2.476389,0.1879,9.0,0.8121,0.007656,"{'Hellinger_fidelity_std': 0.003817, 'TVD_std': 0.003807, 'JSD_std': 0.00222}",0.498528,42.0,35.0,9.0,10.0,"{'value': 0, 'status': 'VALID'}",1.0,9.0,11.0,10.0,1.192975,,1.0,0.0,,,,COMPILED_UNVERIFIED,1.0,9.0
03-micro-gradient-scaling,QFT_9_NONTRIVIAL,SABRE_O3,440.0,,,,,,,,0.2961,0.832336,0.121878,,,,,,,,,,8.016332,,,,,,,,8.477792,0.335997,112.0,,,"{'Hellinger_fidelity_std': 0.004334, 'TVD_std': 0.004428, 'JSD_std': 0.002995}",0.010882,195.0,36.0,112.0,552.0,"{'value': 0.4945, 'status': 'VALID'}",12.0,40.0,20.0,52.0,6.179188,,128.0,72.0,,,,COMPILED_UNVERIFIED,2.8,67.0
03-micro-gradient-scaling,CrossEnt_8,PROMETHEUS,224.0,,,,,,,,0.115263,0.973605,0.019042,,,,,,,,,,7.846441,,,,,,,,7.922949,0.13045,46.0,,,"{'Hellinger_fidelity_std': 0.001727, 'TVD_std': 0.004313, 'JSD_std': 0.001243}",0.078543,120.0,37.0,46.0,270.0,"{'value': 0, 'status': 'VALID'}",16.0,13.0,11.0,29.0,6.629501,,80.0,33.0,,,,COMPILED_UNVERIFIED,3.538462,41.0
03-micro-gradient-scaling,GHZ_8,TKET,1.0,,,,,,,,0.275819,0.853635,0.077566,,,,,,,,,,1.442232,,,,,,,,2.140615,0.1454,7.0,0.8546,0.006909,"{'Hellinger_fidelity_std': 0.003627, 'TVD_std': 0.003631, 'JSD_std': 0.002032}",0.501939,34.0,38.0,7.0,8.0,"{'value': 0, 'status': 'VALID'}",1.0,7.0,9.0,8.0,1.132894,,1.0,0.0,,,,COMPILED_UNVERIFIED,1.0,7.0
03-micro-gradient-scaling,QAOA_9_MAXCUT,TKET,36.0,,,,,,,,0.31884,0.807017,0.137623,,,,,,,,,,8.707941,,,,,,,,8.851667,0.343058,46.0,,,"{'Hellinger_fidelity_std': 0.004007, 'TVD_std': 0.004543, 'JSD_std': 0.002935}",0.833908,230.0,39.0,86.0,82.0,"{'value': 0.555, 'status': 'VALID'}",18.0,13.0,10.0,31.0,7.380822,,16.0,33.0,,,,COMPILED_UNVERIFIED,6.615385,43.0
03-micro-gradient-scaling,GHZ_3,SABRE_O3,13.0,,,,,,,,0.156263,0.95176,0.024581,,,,,,,,,,1.139677,,,,,,,,1.340025,0.0481,2.0,0.9519,0.004194,"{'Hellinger_fidelity_std': 0.002005, 'TVD_std': 0.002004, 'JSD_std': 0.00104}",0.071864,10.0,40.0,2.0,15.0,"{'value': 0, 'status': 'VALID'}",1.0,2.0,4.0,3.0,1.036526,,7.0,0.0,,,,COMPILED_UNVERIFIED,1.0,2.0
03-micro-gradient-scaling,CrossEnt_3,SABRE_O3,23.0,,,,,,,,0.042202,0.996441,0.002568,,,,,,,,,,2.979806,,,,,,,,2.989772,0.0486,4.0,,,"{'Hellinger_fidelity_std': 0.000587, 'TVD_std': 0.004352, 'JSD_std': 0.000424}",0.007545,18.0,41.0,4.0,27.0,"{'value': 0, 'status': 'VALID'}",6.0,3.0,6.0,9.0,2.730249,,13.0,1.0,,,,COMPILED_UNVERIFIED,1.333333,4.0
03-micro-gradient-scaling,QFT_7_NONTRIVIAL,TKET,50.0,,,,,,,,0.092934,0.982801,0.012415,,,,,,,,,,6.903462,,,,,,,,6.950484,0.107937,66.0,,,"{'Hellinger_fidelity_std': 0.001339, 'TVD_std': 0.004195, 'JSD_std': 0.000965}",1.147861,327.0,42.0,108.0,116.0,"{'value': 0.3506, 'status': 'VALID'}",10.0,24.0,16.0,34.0,6.243318,,23.0,42.0,,,,COMPILED_UNVERIFIED,4.5,61.0
03-micro-gradient-scaling,CrossEnt_5,SABRE_O3,53.0,,,,,,,,0.06634,0.991217,0.006341,,,,,,,,,,4.948571,,,,,,,,4.974414,0.0805,13.0,,,"{'Hellinger_fidelity_std': 0.000977, 'TVD_std': 0.00476, 'JSD_std': 0.000706}",0.008225,36.0,43.0,13.0,66.0,"{'value': 0, 'status': 'VALID'}",10.0,7.0,8.0,17.0,4.546245,,24.0,6.0,,,,COMPILED_UNVERIFIED,1.857143,11.0
03-micro-gradient-scaling,CrossEnt_7,SABRE_O3,93.0,,,,,,,,0.067665,0.990864,0.006591,,,,,,,,,,6.947446,,,,,,,,6.97358,0.077875,26.0,,,"{'Hellinger_fidelity_std': 0.001065, 'TVD_std': 0.00423, 'JSD_std': 0.000768}",0.007956,46.0,44.0,26.0,119.0,"{'value': 0, 'status': 'VALID'}",14.0,11.0,10.0,25.0,6.299028,,32.0,15.0,,,,COMPILED_UNVERIFIED,2.363636,15.0
03-micro-gradient-scaling,QAOA_7_MAXCUT,SABRE_O3,117.0,,,,,,,,0.31551,0.810817,0.136987,,,,,,,,,,6.252478,,,,,,,,6.628173,0.350884,31.0,,,"{'Hellinger_fidelity_std': 0.003762, 'TVD_std': 0.004575, 'JSD_std': 0.002763}",0.008696,73.0,45.0,31.0,148.0,"{'value': 0.6554, 'status': 'VALID'}",14.0,10.0,9.0,24.0,4.733124,,50.0,21.0,,,,COMPILED_UNVERIFIED,3.1,22.0
03-micro-gradient-scaling,QAOA_10_MAXCUT,PROMETHEUS,601.0,,,,,,,,0.28526,0.843875,0.111393,,,,,,,,,,9.340663,,,,,,,,9.676543,0.308313,153.0,,,"{'Hellinger_fidelity_std': 0.003977, 'TVD_std': 0.004355, 'JSD_std': 0.00281}",0.054738,353.0,46.0,153.0,754.0,"{'value': 0.6456, 'status': 'VALID'}",20.0,15.0,9.0,35.0,6.828281,,259.0,138.0,,,,COMPILED_UNVERIFIED,10.2,103.0
